company,country,round_type,amount_usd,date,investors,sector,source_url,source_type,confidence,signal,first_seen_date,linkedin_person,linkedin_post_url
TripWip,Uruguay,seed,4200000,2026-07-14,Latin Leap; CrossBoundary; Yango Ventures,P2P carsharing,https://latamlist.com/tripwip-raises-4-2m-seed-round/,latamlist,high,early,2026-07-16,,
Mercado Bitcoin,Brazil,series-c,20000000,2026-07-09,Tether,crypto exchange,https://latamlist.com/category/startup-news/funding/,latamlist,high,expansion,2026-07-14,,
Infinia,Uruguay,series-a,13500000,2026-07-09,Bain Capital; Variant Fund; Y Combinator; Lattice,banking-to-digital-assets infrastructure,https://latamlist.com/infinia-raises-13-5m-series-a-led-by-bain-capital-and-variant-fund/,latamlist,high,expansion,2026-07-14,,
Telepatia AI,Colombia,series-a,33000000,2026-07-08,a16z; David Vélez; Simón Borrero,healthtech clinical AI,https://colombiaone.com/2026/07/09/telepatia-ai-42-million-funding/,latamlist,high,expansion,2026-07-14,,
Aviva,Mexico,series-a,18000000,2026-07-06,Valor Capital Group; BID Lab; Caravela Capital; Wollef; Ignia; Newtopia,credit kiosks fintech,https://latamlist.com/aviva-raises-18m-series-a-led-by-valor-capital/,latamlist,high,expansion,2026-07-14,,
Pinbank,Brazil,debt,19690853,2026-07-02,XP (estructurador),acquiring/payments,https://finsidersbrasil.com.br/giro-noticias/pinbank-capta-r-100-milhoes-e-reforca-operacao-de-adquirencia/,prensa-br,medium,other,2026-07-16,,
Loopia,Brazil,seed,1200000,2026-07-01,Parceiro Ventures,,https://latamlist.com/loopia-raises-1-2m-seed-round/,latamlist,high,early,2026-07-14,,
Jota,Brazil,series-a,30000000,2026-07-01,Haun Ventures,fintech,https://latamlist.com/category/startup-news/funding/,latamlist,high,expansion,2026-07-14,,
Addi,Colombia,series-d,86000000,2026-07-01,Citius; BTG Pactual; GIC; Monashees,fintech BNPL,https://latamlist.com/addi-raises-86m-series-d/,latamlist,high,scale,2026-07-14,,
Mango,Mexico,seed,,2026-07,Brick & Mortar Ventures,construction fintech,https://forbes.com.mx/startup-que-busca-construir-el-primer-buro-de-credito-de-la-construccion-en-mexico-levanta-6-mdd/,latamlist,high,early,2026-07-14,,
Nexu,Mexico,debt,143000000,2026-07,HSBC,auto financing fintech,https://latamlist.com/nexu-secures-143m-credit-line-from-hsbc/,latamlist,high,other,2026-07-14,,
Blanco,Chile,seed,5200000,2026-07,Krealo,fintech factoring SMEs,https://latamlist.com/blanco-raises-5-2m-seed-round-led-by-krealo/,latamlist,high,early,2026-07-14,,
Bianca AI,Argentina,pre-seed,500000,2026-06-30,Magma Partners; Matterscale Ventures; Kellogg angels,AI for consumer goods,https://latamlist.com/bianca-raises-500k-pre-seed-round/,latamlist,high,early,2026-07-14,,
Digitt,Mexico,debt,50000000,2026-06-30,Victory Park Capital,consumer lending refinancing,https://latamlist.com/digitt-secures-50m-credit-facility-from-victory-park-capital-to-expand-lending-in-mexico/,latamlist,high,other,2026-07-16,,
Baubap,Mexico,debt,23000000,2026-06-30,BBVA Spark; SixPoint Capital,digital consumer lending,https://latamlist.com/baubap-secures-23m-credit-facility-from-bbva-spark-and-sixpoint-capital/,latamlist,high,other,2026-07-16,,
Vixtra,Brazil,series-a,9600000,2026-06-23,Valor Capital,import finance fintech,https://latamlist.com/category/startup-news/funding/page/2/,latamlist,high,expansion,2026-07-14,,
Agibank,Brazil,debt,97400000,2026-06-22,,neobank,https://latamlist.com/agibank-raises-97-4m-through-seventh-debt-issuance/,latamlist,high,other,2026-07-16,,
ProtectU,Uruguay,growth,100000,2026-06-18,,insurtech,https://www.latamfintech.co/listings/top-10-financiacion-en-fintech-junio-2026,latamfintech,high,scale,2026-07-16,,
